# 逐字稿 - moneyline_20260227_part3
# 來源網址: https://www.youtube.com/watch?v=h6oc4Zi7yzw
# 轉換日期: 2026-02-27 20:33:01
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:09.200]  接下來這個案例
[00:24:12.600 --> 00:24:13.600]  所以我覺得是這樣
[00:24:13.600 --> 00:24:14.600]  今年呢
[00:24:14.600 --> 00:24:17.600]  我覺得如果以華爾街大咖來講的話
[00:24:17.600 --> 00:24:19.600]  你還是可以以這些大型股
[00:24:19.600 --> 00:24:21.600]  特別像標普500
[00:24:21.600 --> 00:24:22.600]  然後科技的部分的話
[00:24:22.600 --> 00:24:25.600]  我覺得今年比較側重半導體多點
[00:24:25.600 --> 00:24:28.600]  因為華爾街大咖都往半導體走了
[00:24:28.600 --> 00:24:29.600]  那所謂nastec的部分
[00:24:29.600 --> 00:24:32.600]  我覺得現在還是有一點點分亂
[00:24:32.600 --> 00:24:33.600]  因為有些長像最近
[00:24:33.600 --> 00:24:35.600]  美股又被殺得很慘
[00:24:35.600 --> 00:24:37.600]  所以這個部分來講
[00:24:37.600 --> 00:24:39.600]  會比較波動大一點
[00:24:39.600 --> 00:24:41.600]  但是如果說你會有發現到說
[00:24:41.600 --> 00:24:44.600]  資金的方向往民生消費的話
[00:24:44.600 --> 00:24:45.600]  可能到全的部分
[00:24:45.600 --> 00:24:46.600]  你可以看一下
[00:24:46.600 --> 00:24:47.600]  這個部分來講
[00:24:47.600 --> 00:24:48.600]  我因為資金有流動
[00:24:48.600 --> 00:24:50.600]  但是你會發現到說
[00:24:50.600 --> 00:24:53.600]  以如果以去年的漲幅來講的話
[00:24:53.600 --> 00:24:56.600]  今年可能因為臉漲多一點
[00:24:56.600 --> 00:24:57.600]  所以可能還是看
[00:24:57.600 --> 00:24:59.600]  其他的新興市場會比較好一點
[00:24:59.600 --> 00:25:00.600]  新興市場
[00:25:00.600 --> 00:25:02.600]  所以今年像教育美股ETF
[00:25:02.600 --> 00:25:03.600]  新興市場的ETF
[00:25:03.600 --> 00:25:05.600]  其實你還是相對比較有信心
[00:25:05.600 --> 00:25:07.600]  非常清楚謝謝志願
[00:25:07.600 --> 00:25:08.600]  請先回座了
[00:25:08.600 --> 00:25:09.600]  美股的ETF
[00:25:09.600 --> 00:25:11.600]  服相教育新興市場的ETF
[00:25:11.600 --> 00:25:13.600]  在天明上趁一趁
[00:25:13.600 --> 00:25:14.600]  哪一個比較吸引女士和你
[00:25:14.600 --> 00:25:15.600]  通給你做參考了
[00:25:15.600 --> 00:25:16.600]  來 節目最後
[00:25:16.600 --> 00:25:17.600]  民哲請你上台來
[00:25:17.600 --> 00:25:18.600]  明天沒有開盤
[00:25:18.600 --> 00:25:19.600]  那裡白衣
[00:25:19.600 --> 00:25:20.600]  觀盤重點哪些
[00:25:20.600 --> 00:25:22.600]  好 首先在國際的部分
[00:25:22.600 --> 00:25:24.600]  我們還是要先看一下回答
[00:25:24.600 --> 00:25:26.600]  因為在今天跟明天兩個晚上
[00:25:26.600 --> 00:25:28.600]  到底是立多大漲
[00:25:28.600 --> 00:25:30.600]  還是立多出境來反映
[00:25:30.600 --> 00:25:31.600]  財報這件事情
[00:25:31.600 --> 00:25:33.600]  那廉價期間大家也都知道說
[00:25:33.600 --> 00:25:34.600]  每次遇到這種廉價的時候
[00:25:34.600 --> 00:25:36.600]  川普特別喜歡發炎
[00:25:36.600 --> 00:25:37.600]  所以這個
[00:25:37.600 --> 00:25:38.600]  依朗期市是不是出現一些
[00:25:38.600 --> 00:25:39.600]  比較重大變化
[00:25:39.600 --> 00:25:41.600]  這個是目前國際最關注的重點
[00:25:41.600 --> 00:25:43.600]  那據在國內的部分
[00:25:43.600 --> 00:25:44.600]  今天外資的一個
[00:25:44.600 --> 00:25:46.600]  奇怪進攻率已經來到3萬6000口
[00:25:46.600 --> 00:25:47.600]  這個是最近起來
[00:25:47.600 --> 00:25:49.600]  我們看到最高的一個水準
[00:25:49.600 --> 00:25:50.600]  就是一口氣增加6000口
[00:25:50.600 --> 00:25:51.600]  對 所以大家可能要關注的重點
[00:25:51.600 --> 00:25:54.600]  就是是不是持續維持在3萬口以上
[00:25:54.600 --> 00:25:56.600]  甚至往4萬口去做賣劑
[00:25:56.600 --> 00:25:57.600]  如果有的話
[00:25:57.600 --> 00:25:58.600]  那的確不位上面
[00:25:58.600 --> 00:25:59.600]  可能要去做一點調整
[00:25:59.600 --> 00:26:02.600]  那下個禮拜開始密集公佈財報營收
[00:26:02.600 --> 00:26:03.600]  立多的股票
[00:26:03.600 --> 00:26:04.600]  怎麼要去做反應
[00:26:04.600 --> 00:26:07.600]  這個反應的是市場談面的一個氣氛
[00:26:07.600 --> 00:26:08.600]  那另外也要關注
[00:26:08.600 --> 00:26:09.600]  騰弱指標的變化
[00:26:09.600 --> 00:26:11.600]  如果說出現短線跌的加速
[00:26:11.600 --> 00:26:12.600]  比漲的加速多
[00:26:12.600 --> 00:26:14.600]  而且連缺好幾天的話
[00:26:14.600 --> 00:26:15.600]  你可能就要注意這個行情
[00:26:15.600 --> 00:26:17.600]  會出現漲多的元收者
[00:26:29.600 --> 00:26:31.600]  訂閱按讚開啟小鈴鐺
[00:26:31.600 --> 00:26:32.600]  每個禮拜二
[00:26:32.600 --> 00:26:33.600]  禮拜四晚上
[00:26:33.600 --> 00:26:35.600]  會有新的影片上線
[00:26:35.600 --> 00:26:37.600]  投資領才千萬不要錯過
[00:26:59.600 --> 00:27:00.600]  還看不過影嗎
[00:27:00.600 --> 00:27:04.600]  更多精采內容趕緊下載對焚新聞APP
