# 逐字稿 - moneyline_20260206_part2
# 來源網址: https://www.youtube.com/watch?v=c_z9nnTywes
# 轉換日期: 2026-02-07 14:06:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.960]  我們剛剛錄節目一開始的時候
[00:24:58.040 --> 00:24:59.840]  過來的這一些公司
[00:24:59.840 --> 00:25:01.080]  他們因為沒有錢
[00:25:01.080 --> 00:25:03.640]  所以他們就要去跟這些失目信貸借錢
[00:25:03.640 --> 00:25:04.320]  然後這些公司
[00:25:04.320 --> 00:25:05.680]  我倒的話失目信貸會受影響
[00:25:05.680 --> 00:25:06.720]  對吧
[00:25:06.720 --> 00:25:08.120]  本來還在擔心這些事情
[00:25:08.120 --> 00:25:08.880]  現在不用
[00:25:08.880 --> 00:25:10.440]  現在光這些軟體服務公司
[00:25:10.440 --> 00:25:11.360]  被往下殺的話
[00:25:11.360 --> 00:25:13.240]  失目信貸就已經受衝擊了
[00:25:13.240 --> 00:25:15.840]  因為你像看到這些軟體公司
[00:25:15.840 --> 00:25:17.200]  你要怎麼去跟銀行借錢
[00:25:17.200 --> 00:25:18.240]  其實也很難的
[00:25:18.240 --> 00:25:19.440]  因為你沒有實體
[00:25:19.440 --> 00:25:20.680]  像你有房地產嗎
[00:25:20.680 --> 00:25:21.920]  沒有 你沒有房地產嗎
[00:25:21.920 --> 00:25:24.040]  你有的基本上叫做智慧財產權
[00:25:24.040 --> 00:25:25.720]  那這種東西基本上
[00:25:25.720 --> 00:25:27.320]  銀行比較難認定價值
[00:25:27.320 --> 00:25:28.520]  所以銀行要大跌
[00:25:28.520 --> 00:25:29.440]  借領錢不容易
[00:25:29.440 --> 00:25:31.160]  所以還是失目信貸借領錢
[00:25:31.160 --> 00:25:32.000]  所以失目信貸
[00:25:32.000 --> 00:25:34.120]  手上有很多這些SARS公司
[00:25:34.120 --> 00:25:35.160]  都有一些債權
[00:25:35.160 --> 00:25:37.520]  所以說SARS公司股價大跌
[00:25:37.520 --> 00:25:39.040]  導致它的財務出問題的話
[00:25:39.040 --> 00:25:40.640]  對失目信貸會有很大的影響
[00:25:40.640 --> 00:25:41.800]  我們來看幾家
[00:25:41.800 --> 00:25:44.160]  像KKR這一些股價走勢
[00:25:44.160 --> 00:25:46.400]  最近股價也暴跌
[00:25:46.400 --> 00:25:47.360]  絕對都有影響
[00:25:47.360 --> 00:25:48.080]  在多看幾家
[00:25:48.080 --> 00:25:49.320]  譬如說你看阿波羅
[00:25:49.320 --> 00:25:50.360]  阿波羅算很大價了
[00:25:50.360 --> 00:25:51.520]  阿波羅算很大價了
[00:25:51.520 --> 00:25:52.560]  但是也說影響
[00:25:52.560 --> 00:25:54.680]  我們再看另外一家
[00:25:54.680 --> 00:25:55.760]  這個股價都暴跌
[00:25:55.760 --> 00:25:57.120]  這都是失目信貸
[00:25:57.120 --> 00:25:57.920]  所以我的意思說
[00:25:57.920 --> 00:26:01.000]  失目信貸還沒有被AI打垮
[00:26:01.000 --> 00:26:03.680]  但是已經先被SARS公司打垮了
[00:26:03.680 --> 00:26:06.240]  那這個東西大家要指導
[00:26:06.240 --> 00:26:07.720]  因為我們平常在台灣
[00:26:07.720 --> 00:26:09.000]  沒有再注意這些訊息
[00:26:09.000 --> 00:26:10.160]  可是在美國股市裡面
[00:26:10.160 --> 00:26:11.880]  已經慢慢地都在蔓延
[00:26:11.880 --> 00:26:12.880]  那在我們來講回來
[00:26:12.880 --> 00:26:14.800]  大家最關心的美國科技股
[00:26:14.800 --> 00:26:17.320]  財報顯示AI資本支出擴大
[00:26:17.320 --> 00:26:19.400]  已經是變
[00:26:19.400 --> 00:26:20.400]  不是美好故事
[00:26:20.400 --> 00:26:21.720]  變成票房毒料了
[00:26:21.720 --> 00:26:24.240]  現在資本支出擴的再大
[00:26:24.240 --> 00:26:25.520]  大家第一個就問你
[00:26:25.520 --> 00:26:26.760]  按你要怎麼回收
[00:26:26.760 --> 00:26:28.720]  然後你的責就費用有多少
[00:26:28.720 --> 00:26:31.720]  你要知道從微軟股價暴跌
[00:26:31.720 --> 00:26:33.520]  到這個昨天的股哥
[00:26:33.520 --> 00:26:36.200]  其實股哥的財報是非常亮麗
[00:26:36.200 --> 00:26:38.000]  而且股哥那個整個生態系
[00:26:38.000 --> 00:26:40.200]  然後都非常的棒
[00:26:40.200 --> 00:26:42.680]  然後股價也沒漲
[00:26:42.680 --> 00:26:44.800]  股哥是該漲沒漲
[00:26:44.800 --> 00:26:46.200]  但是像亞馬遜
[00:26:46.200 --> 00:26:48.720]  該我們看已經跌了彈奏跌了11%
[00:26:48.720 --> 00:26:50.400]  其實亞馬遜的財報也不錯
[00:26:50.400 --> 00:26:51.360]  只是因為他說
[00:26:51.360 --> 00:26:53.040]  今年資本支出2000億
[00:26:53.040 --> 00:26:53.920]  大家就嚇到了
[00:26:53.920 --> 00:26:56.200]  因為你去想吧2000億
[00:26:56.200 --> 00:26:57.640]  2000億美元
[00:26:57.640 --> 00:26:59.760]  來我們來開始算當快劑
[00:26:59.760 --> 00:27:02.280]  我們來開開集團快劑科目
[00:27:02.280 --> 00:27:04.480]  責就怎麼算
[00:27:04.480 --> 00:27:05.640]  好 責就是什麼意思呢
[00:27:05.640 --> 00:27:06.160]  很簡單
[00:27:06.160 --> 00:27:07.840]  就是這2000億你要分幾年
[00:27:07.840 --> 00:27:09.360]  要判消
[00:27:09.360 --> 00:27:10.920]  花出去的錢就要判消
[00:27:10.920 --> 00:27:12.360]  那一般來講
[00:27:12.360 --> 00:27:13.200]  AI資本支出
[00:27:13.200 --> 00:27:16.280]  因為AI變這個更新換代很快
[00:27:16.280 --> 00:27:18.600]  所以一般來講用五年來的判消
[00:27:18.600 --> 00:27:21.360]  那五年判消代表一年我要判什麼
[00:27:21.360 --> 00:27:22.840]  四百億
[00:27:22.840 --> 00:27:24.680]  一年要判四百億
[00:27:24.680 --> 00:27:26.720]  你要知道有的公司一年
[00:27:26.720 --> 00:27:28.240]  可能只賺五百億
[00:27:28.240 --> 00:27:30.320]  那我叫它判掉四百億的費用
[00:27:30.320 --> 00:27:32.280]  大家知道責就是費用
[00:27:32.280 --> 00:27:35.000]  那就等於你只賺一百億
[00:27:35.000 --> 00:27:36.680]  那對很多公司的自由現金流
[00:27:36.680 --> 00:27:37.480]  會有很大的衝擊
[00:27:37.480 --> 00:27:39.040]  所以我們到下一頁
[00:27:39.040 --> 00:27:40.040]  市場在擔心什麼
[00:27:40.040 --> 00:27:41.520]  擔心的四點
[00:27:41.520 --> 00:27:43.480]  一 二 三 四
[00:27:43.480 --> 00:27:44.720]  第一個自由現金流不夠
[00:27:44.720 --> 00:27:45.920]  就好像跟你講的
[00:27:45.920 --> 00:27:48.080]  你要花那麼多錢2000億
[00:27:48.080 --> 00:27:49.520]  那代表你有2000億的錢
[00:27:49.520 --> 00:27:50.560]  不一定有的
[00:27:50.560 --> 00:27:51.640]  你是要靠以後
[00:27:51.640 --> 00:27:52.280]  一邊賺
[00:27:52.280 --> 00:27:52.880]  一邊支出
[00:27:52.880 --> 00:27:54.080]  一邊賺一邊支出對不對
[00:27:54.080 --> 00:27:55.560]  我以前曾經跟各位講過
[00:27:55.560 --> 00:27:57.400]  如果我賺1000億
[00:27:57.400 --> 00:27:59.280]  啊我投一百億的AI
[00:27:59.280 --> 00:28:01.200]  我OK啊
[00:28:01.200 --> 00:28:01.520]  對不對
[00:28:01.520 --> 00:28:03.360]  因為只是十分之一的支出
[00:28:03.360 --> 00:28:04.920]  可是如果今天剛好顛倒
[00:28:04.920 --> 00:28:07.280]  我只賺八百億
[00:28:07.280 --> 00:28:08.240]  我只賺八百億
[00:28:08.240 --> 00:28:10.880]  可是我要2000億的AI支出呢
[00:28:10.880 --> 00:28:12.400]  我的自由現金流就不夠了
[00:28:12.400 --> 00:28:13.800]  我告訴你自由現金流不夠
[00:28:13.800 --> 00:28:15.600]  這是現在最大的惡夢
[00:28:15.600 --> 00:28:16.600]  最大的惡夢
[00:28:16.600 --> 00:28:18.640]  資本市場現在就在反映這件事情
[00:28:18.640 --> 00:28:20.480]  第二個就是商業模式不穩定
[00:28:20.480 --> 00:28:22.040]  這個我已經講過很多遍了
[00:28:22.040 --> 00:28:23.240]  這些大模型公司
[00:28:23.240 --> 00:28:25.120]  其實你看到那些
[00:28:25.120 --> 00:28:26.320]  我們一般老百姓訂閱
[00:28:26.320 --> 00:28:28.920]  或者企業端就算有用
[00:28:28.920 --> 00:28:29.880]  到現在為止
[00:28:29.880 --> 00:28:32.000]  我也看不到大規模的應用
[00:28:32.000 --> 00:28:33.320]  再來第三個
[00:28:33.320 --> 00:28:34.320]  未來客戶太集中
[00:28:34.320 --> 00:28:35.480]  這就是維軟的問題
[00:28:35.480 --> 00:28:39.280]  維軟上禮拜的財報不好
[00:28:39.280 --> 00:28:40.120]  導致股價大力
[00:28:40.120 --> 00:28:42.080]  就是他太依賴我朋友也來的
[00:28:42.080 --> 00:28:43.760]  再來就這個高的持久費
[00:28:43.760 --> 00:28:45.320]  就我剛剛跟各位講了
[00:28:45.320 --> 00:28:46.520]  你資本支出越高
[00:28:46.520 --> 00:28:48.320]  現在大家第一個想到的不是說
[00:28:48.320 --> 00:28:50.280]  資本支出越高代表
[00:28:50.280 --> 00:28:52.160]  代表你未來會到賺錢不是
[00:28:52.160 --> 00:28:53.720]  大家會認為說資本支出高
[00:28:53.720 --> 00:28:56.240]  代表這個行業競爭非常激烈
[00:28:56.240 --> 00:28:56.920]  好 你看嘛
[00:28:56.920 --> 00:28:58.800]  維軟要投一千多億
[00:28:58.800 --> 00:28:59.960]  然後呢
[00:28:59.960 --> 00:29:02.080]  這個谷歌就說一千八百億
[00:29:02.080 --> 00:29:04.440]  然後亞馬遜就不該是說變2000億
[00:29:04.440 --> 00:29:07.240]  這種增加代表蘇郎不蘇丁
[00:29:07.240 --> 00:29:08.040]  代表就是說
[00:29:08.040 --> 00:29:09.080]  我如果不投那麼多
[00:29:09.080 --> 00:29:10.720]  我以後一定沒有機會
[00:29:10.720 --> 00:29:11.960]  但是我投那麼多
[00:29:11.960 --> 00:29:12.680]  一定會成功嗎
[00:29:12.680 --> 00:29:13.520]  不知道
[00:29:13.520 --> 00:29:15.760]  這個是被迫的增加加嘛
[00:29:15.760 --> 00:29:17.600]  但是折就費用跑不掉
[00:29:17.600 --> 00:29:19.240]  你投入金額越多
[00:29:19.240 --> 00:29:20.880]  你折就費用就越高
[00:29:20.880 --> 00:29:22.320]  你就分五年談題
[00:29:22.320 --> 00:29:23.880]  每一年的折就費用就很高
[00:29:23.880 --> 00:29:25.760]  但這一個部分就是非常嚴重
[00:29:25.760 --> 00:29:26.520]  這四點
[00:29:26.520 --> 00:29:28.800]  我覺得是現在化解最關心的
[00:29:28.800 --> 00:29:29.600]  還有第五點
[00:29:29.600 --> 00:29:31.160]  就是我認為是競爭的問題
[00:29:31.160 --> 00:29:32.320]  我之前跟各位講過了
[00:29:32.320 --> 00:29:35.480]  現在的AI圈已經都是在網內褲打了
[00:29:35.480 --> 00:29:37.360]  不管是晶片也是網內褲打
[00:29:37.360 --> 00:29:39.160]  我們講過灰打的狀況
[00:29:39.160 --> 00:29:40.720]  它現在面對很多的競爭對手
[00:29:40.720 --> 00:29:41.200]  對吧
[00:29:41.200 --> 00:29:42.800]  像亞馬遜也是眼晶片
[00:29:42.800 --> 00:29:44.040]  谷歌也是眼晶片
[00:29:44.040 --> 00:29:46.160]  那我們講這些大模型不也是嘛
[00:29:46.160 --> 00:29:49.600]  我們講OPEN AI被捐本來稍微有點威脅的
[00:29:49.600 --> 00:29:52.080]  然後最近又有一個Anthorpeak的那個Cow
[00:29:52.080 --> 00:29:53.360]  也是非常的強大
[00:29:53.360 --> 00:29:54.840]  這個都是互相在影響
[00:29:54.840 --> 00:29:56.440]  也就是說餅就這麼大
[00:29:56.440 --> 00:29:57.120]  但是呢
[00:29:57.120 --> 00:29:58.160]  大家互相競爭
[00:29:58.160 --> 00:30:01.080]  而且都互相之間都感覺實力很強
[00:30:01.080 --> 00:30:03.520]  那基本上這個地方就有很大的一個問題
[00:30:03.520 --> 00:30:05.440]  最後兩個問題我要追問的
[00:30:05.440 --> 00:30:07.680]  如果現在背景是這樣子
[00:30:07.680 --> 00:30:09.720]  威脅跟危機是這樣子
[00:30:09.720 --> 00:30:12.360]  第一個你怎麼看AI的教主灰打
[00:30:12.360 --> 00:30:14.760]  第二個你怎麼看台股受到的影響
[00:30:14.760 --> 00:30:16.840]  我覺得灰打最近的力多很多
[00:30:16.840 --> 00:30:18.000]  但股價都不漲
[00:30:18.000 --> 00:30:20.120]  譬如說H200可以賣到這種大陸去
[00:30:20.120 --> 00:30:20.880]  這算力多嗎
[00:30:20.880 --> 00:30:22.000]  當然是力多
[00:30:22.000 --> 00:30:23.440]  但是第一個是中國大陸不買
[00:30:23.440 --> 00:30:25.440]  第二個是什麼省批還沒完成
[00:30:25.440 --> 00:30:26.880]  第三反正股價就不漲
[00:30:26.880 --> 00:30:30.000]  再來就是它在CAS展這個Rubin的平台
[00:30:30.000 --> 00:30:31.280]  那時候在講的時候
[00:30:31.280 --> 00:30:32.360]  大家覺得天啊
[00:30:32.360 --> 00:30:33.800]  未來世界多美好對不對
[00:30:33.800 --> 00:30:37.040]  灰打呢除了這個AI資料中心以外
[00:30:37.040 --> 00:30:39.120]  它未來要跨足到自家車
[00:30:39.120 --> 00:30:41.280]  跨到機器人對
[00:30:41.280 --> 00:30:42.480]  遠景很有偉大
[00:30:42.480 --> 00:30:44.120]  但是股價就不漲
[00:30:44.120 --> 00:30:46.040]  我們看一下灰打的K線圖
[00:30:46.040 --> 00:30:48.880]  我之前曾經講過150個
[00:30:48.880 --> 00:30:50.440]  一個很危險的一個價位
[00:30:50.440 --> 00:30:50.720]  是
[00:30:50.720 --> 00:30:51.840]  你說150在哪裡
[00:30:51.840 --> 00:30:52.520]  還沒有比
[00:30:52.520 --> 00:30:53.640]  你時間長一點
[00:30:53.640 --> 00:30:55.480]  150在這裡
[00:30:55.480 --> 00:30:56.360]  對
[00:30:56.360 --> 00:30:57.600]  如果跌到150的話
[00:30:57.600 --> 00:30:58.960]  那真的是待機抓掉
[00:30:58.960 --> 00:30:59.960]  那你說有沒有可能
[00:30:59.960 --> 00:31:01.560]  我覺得以目前的走勢來講
[00:31:01.560 --> 00:31:03.200]  很有可能為什麼
[00:31:03.200 --> 00:31:04.680]  因為大家知道這些公司
[00:31:04.680 --> 00:31:06.840]  其實在跌也不應該都是在跌基本面
[00:31:06.840 --> 00:31:09.240]  有的時候是在跌什麼你知道嗎
[00:31:09.240 --> 00:31:11.280]  ETF的賣呀
[00:31:11.280 --> 00:31:13.040]  大家知道過去這幾年
[00:31:13.040 --> 00:31:14.040]  很多人就投眉股
[00:31:14.040 --> 00:31:15.520]  投眉股你不會選股嘛
[00:31:15.520 --> 00:31:16.720]  那就買ETF對不對
[00:31:16.720 --> 00:31:18.080]  那ETF你
[00:31:18.080 --> 00:31:19.560]  那些機器拿到你的錢以後
[00:31:19.560 --> 00:31:20.920]  他就照照著買
[00:31:20.920 --> 00:31:23.280]  灰打蘋果股哥這樣買
[00:31:23.280 --> 00:31:24.280]  那今天他要撤退了
[00:31:24.280 --> 00:31:25.760]  不就是要照著這樣賣嘛
[00:31:25.760 --> 00:31:27.880]  好 最後過年大家都在想
[00:31:27.880 --> 00:31:28.720]  要不要報股過節
[00:31:28.720 --> 00:31:29.360]  你的建議
[00:31:29.360 --> 00:31:30.240]  好 我的建議是這樣
[00:31:30.240 --> 00:31:31.640]  我覺得過年這一段時間
[00:31:31.640 --> 00:31:33.000]  會有很多的事情
[00:31:33.000 --> 00:31:34.840]  包括真正的戰爭
[00:31:34.840 --> 00:31:36.440]  或者華爾街這邊
[00:31:36.440 --> 00:31:37.840]  很多資本市場出現問題
[00:31:37.840 --> 00:31:39.200]  現在年包括年比特
[00:31:39.200 --> 00:31:40.840]  必拉黃金都出現大東大
[00:31:40.840 --> 00:31:41.960]  所以我建議大家
[00:31:41.960 --> 00:31:43.480]  因為過年這段時間是蓋牌的
[00:31:43.480 --> 00:31:45.040]  你什麼事都不能幹
[00:31:45.040 --> 00:31:47.360]  我建議你留多一點的陷阱
[00:31:47.360 --> 00:31:48.640]  稍微退出來
[00:31:48.640 --> 00:31:49.680]  用旁觀者的角度
[00:31:49.680 --> 00:31:51.160]  來看清中市場的變化
[00:31:51.160 --> 00:31:51.800]  時間到了
[00:31:51.800 --> 00:31:52.600]  如果真的沒事的
[00:31:52.600 --> 00:31:54.200]  我們過完年再回來做就好了
[00:31:54.200 --> 00:31:54.800]  非常清楚
[00:31:54.800 --> 00:31:55.600]  謝謝鄭老師
[00:31:55.600 --> 00:31:56.840]  請先回座了
[00:31:56.840 --> 00:31:58.160]  這個禮拜每一天
[00:31:58.160 --> 00:32:00.400]  我都問前新的來賓這個問題
[00:32:00.400 --> 00:32:01.960]  大家的這個答案
[00:32:01.960 --> 00:32:02.960]  幾乎都一樣
[00:32:02.960 --> 00:32:04.480]  留多一點的陷阱
[00:32:04.480 --> 00:32:05.480]  但問題是
[00:32:05.480 --> 00:32:07.880]  陷阱要從哪裡提出來
[00:32:07.880 --> 00:32:10.160]  今天盤中有一些個股的動盪
[00:32:10.160 --> 00:32:12.120]  在預告開紅盤之後怎麼走
[00:32:12.120 --> 00:32:12.800]  休息一下
[00:32:12.800 --> 00:32:13.840]  不就老師告訴你
[00:32:13.840 --> 00:32:15.120]  我們要趕緊插播一下
[00:32:15.120 --> 00:32:16.280]  好博士老師幫我們發現
[00:32:16.280 --> 00:32:17.360]  我們現在錄影時間
[00:32:17.360 --> 00:32:18.880]  隨著台北時間下午
[00:32:18.880 --> 00:32:21.160]  來到了5點40分了
[00:32:21.160 --> 00:32:22.920]  您在看電視的時候
[00:32:22.920 --> 00:32:25.440]  美國股是應該剛剛開盤
[00:32:25.440 --> 00:32:27.120]  我們從錄影的一開始
[00:32:27.120 --> 00:32:29.920]  三大棋子幾乎都在瓶盤之下
[00:32:29.920 --> 00:32:32.120]  到剛剛台子棋的夜盤
[00:32:32.120 --> 00:32:34.480]  突然漢地把從噴上來
[00:32:34.480 --> 00:32:37.160]  目前大漲了313點
[00:32:37.160 --> 00:32:39.200]  台子棋的夜盤先漲
[00:32:39.200 --> 00:32:41.440]  然後美國棋貨盤三大指數
[00:32:41.440 --> 00:32:42.560]  同步的翻紅
[00:32:42.560 --> 00:32:44.360]  而且拉開漲幅
[00:32:44.360 --> 00:32:45.240]  同一時間
[00:32:45.240 --> 00:32:46.840]  台積電ADR盤前
[00:32:46.840 --> 00:32:48.000]  從剛剛錄影之前
[00:32:48.000 --> 00:32:49.000]  一個小時之前
[00:32:49.000 --> 00:32:50.400]  大概瓶盤
[00:32:50.400 --> 00:32:53.320]  目前ADR盤前漲幅拉開到一趴
[00:32:53.320 --> 00:32:54.600]  或許是不是大棋
[00:32:54.600 --> 00:32:55.960]  這個應該是這樣
[00:32:55.960 --> 00:32:58.640]  我就早上就是殺過頭了
[00:32:58.640 --> 00:33:00.640]  因為亞馬遜這個東西
[00:33:00.640 --> 00:33:02.200]  雖然大家會恐慌說
[00:33:02.200 --> 00:33:03.960]  變陷的這個問題
[00:33:03.960 --> 00:33:05.480]  可是其實你看到什麼
[00:33:05.480 --> 00:33:07.720]  AI還是如火獨突在建設
[00:33:07.720 --> 00:33:08.880]  再加上什麼
[00:33:08.880 --> 00:33:10.160]  看見納斯打個指數
[00:33:10.160 --> 00:33:11.680]  我們看見納斯打個指數
[00:33:11.680 --> 00:33:14.000]  它短線打到一個
[00:33:14.000 --> 00:33:15.680]  很關鍵的位置
[00:33:15.680 --> 00:33:16.400]  對不對
[00:33:16.400 --> 00:33:17.680]  你跌破這一條
[00:33:17.680 --> 00:33:19.160]  你跌到半年線的位置
[00:33:19.160 --> 00:33:21.200]  又來到前面的景線的位置
[00:33:21.200 --> 00:33:22.320]  所以這裡當然
[00:33:22.320 --> 00:33:25.120]  它會有多頭的抵抗
[00:33:25.120 --> 00:33:26.960]  而且我說真的這兩天
[00:33:26.960 --> 00:33:28.800]  除了剛才一開始講了一檔問題
[00:33:28.800 --> 00:33:31.080]  還有這些相關的加密貨幣
[00:33:31.080 --> 00:33:32.320]  黃金大增浪以外
[00:33:32.320 --> 00:33:34.520]  其實沒有實質的利空
[00:33:34.520 --> 00:33:35.640]  沒有實質的利空
[00:33:35.640 --> 00:33:37.240]  當然現在目前看起來
[00:33:37.240 --> 00:33:38.280]  不知道你在開電視
[00:33:38.280 --> 00:33:40.480]  同一時間美國股是否順時的開高
[00:33:40.480 --> 00:33:42.880]  但盤中現在正當越來越大
[00:33:42.880 --> 00:33:44.920]  我們就各股來探討
[00:33:44.920 --> 00:33:45.800]  今天盤中
[00:33:45.800 --> 00:33:47.480]  老AI有一些不一樣了
[00:33:47.480 --> 00:33:48.800]  所以我們先看老AI
[00:33:48.800 --> 00:33:50.680]  我們一檔一檔看分時
[00:33:50.680 --> 00:33:52.040]  比如說台打電
[00:33:52.040 --> 00:33:54.400]  今天本來開地的拉上來
[00:33:54.400 --> 00:33:55.680]  這是全職股
[00:33:55.680 --> 00:33:57.840]  廣打很多人手中都有
[00:33:57.840 --> 00:34:00.120]  隨著台股的開地拉上來
[00:34:00.120 --> 00:34:01.760]  還有今天的偽創
[00:34:01.760 --> 00:34:03.480]  現行最弱的偽創
[00:34:03.480 --> 00:34:05.840]  今天也是開地走高
[00:34:05.840 --> 00:34:07.480]  還有三天即將封關了
[00:34:07.480 --> 00:34:10.440]  今天老AI突然在盤中都動起來
[00:34:10.440 --> 00:34:12.320]  當然很多人要問的是紅海
[00:34:12.320 --> 00:34:13.960]  紅海有洞沒有翻紅
[00:34:13.960 --> 00:34:17.160]  老AI今年開紅飯有沒有戲
[00:34:17.160 --> 00:34:19.000]  我覺得是有戲
[00:34:19.000 --> 00:34:20.800]  其實今天老AI很明顯
[00:34:20.800 --> 00:34:22.240]  他們是把旁邊穩住
[00:34:22.240 --> 00:34:23.040]  為什麼
[00:34:23.040 --> 00:34:24.200]  我之前我講
[00:34:24.200 --> 00:34:27.520]  我說當記憶體在震盪整理的時候
[00:34:27.520 --> 00:34:29.200]  資金會流出來
[00:34:29.200 --> 00:34:30.480]  流出來他會到哪裡
[00:34:30.480 --> 00:34:33.440]  我一定是在AI相關的各股裡面
[00:34:33.440 --> 00:34:34.280]  找對不對
[00:34:34.280 --> 00:34:35.120]  找到我覺得
[00:34:35.120 --> 00:34:36.720]  譬如說機器不會太高的
[00:34:36.720 --> 00:34:37.520]  後面也有成長
[00:34:37.520 --> 00:34:39.520]  其實那老AI當然就符合
[00:34:39.520 --> 00:34:41.280]  只是大家會問說
[00:34:41.280 --> 00:34:43.960]  那紅海跟老AI到底短現在跌什麼嗎
[00:34:43.960 --> 00:34:45.880]  或是為什麼不長對不對
[00:34:45.880 --> 00:34:47.240]  我說老AI很重要
[00:34:47.240 --> 00:34:50.720]  就是灰打的股價短線是停滯的
[00:34:50.720 --> 00:34:52.120]  甚至是有點偏疊
[00:34:52.120 --> 00:34:53.880]  我們看一下灰打的走勢
[00:34:53.880 --> 00:34:55.320]  你看灰打在這邊
[00:34:55.320 --> 00:34:56.640]  三天七點五趴
[00:34:56.640 --> 00:34:58.560]  對啊 你把時間拉長
[00:34:58.560 --> 00:35:00.480]  你把時間拉長 你會發現
[00:35:00.480 --> 00:35:02.320]  其實他十一月以後
[00:35:02.320 --> 00:35:03.880]  就都停在這裡
[00:35:03.880 --> 00:35:06.040]  那對老AI來講
[00:35:06.040 --> 00:35:08.360]  這個之前為什麼老AI會長成長
[00:35:08.360 --> 00:35:10.200]  就是灰打帶的嘛
[00:35:10.200 --> 00:35:12.600]  所以這個東西告訴你
[00:35:12.600 --> 00:35:14.280]  資金跑去記憶體
[00:35:14.280 --> 00:35:15.920]  然後灰打沒有漲
[00:35:15.920 --> 00:35:18.080]  可是黃能欣這一次來臺灣的
[00:35:18.080 --> 00:35:20.480]  這個造源驗的這個前後
[00:35:20.480 --> 00:35:22.480]  甚至當天他有講嘛
[00:35:22.480 --> 00:35:24.560]  全球AI基礎建設需求
[00:35:24.560 --> 00:35:26.280]  是搶到難以想像
[00:35:26.280 --> 00:35:27.840]  這個東西其實不用他講
[00:35:27.840 --> 00:35:30.080]  你看最近美國超級財報之後
[00:35:30.080 --> 00:35:34.080]  這一些四大些是批賞的資本支出
[00:35:34.080 --> 00:35:36.480]  亞馬遜去年是一千兩百五十億
[00:35:36.480 --> 00:35:39.880]  今年瘋狂的達到的兩千億
[00:35:39.880 --> 00:35:42.360]  這美元耶 對不對
[00:35:42.360 --> 00:35:43.720]  兩千億美元是一個
[00:35:43.720 --> 00:35:45.240]  什麼也是六招臺幣
[00:35:45.240 --> 00:35:46.760]  這非常誇張
[00:35:46.760 --> 00:35:49.240]  那他也點名說紅海啊 廣大
[00:35:49.240 --> 00:35:52.280]  偽創這些系統之後的產能規劃等等
[00:35:52.280 --> 00:35:53.520]  告訴你一件事
[00:35:53.520 --> 00:35:54.880]  我後面還是要靠他們
[00:35:54.880 --> 00:35:56.680]  這些都還會出貨
[00:35:56.680 --> 00:35:58.000]  那為什麼不會漲呢
[00:35:58.000 --> 00:35:58.600]  外資
[00:35:58.600 --> 00:35:59.640]  就是從馬面嘛
[00:35:59.640 --> 00:36:02.560]  我們看偽創下面配外資
[00:36:02.560 --> 00:36:04.880]  你有沒有發現莫名其妙
[00:36:04.880 --> 00:36:06.960]  這邊到底偽創是得罪外資
[00:36:06.960 --> 00:36:08.960]  還是怎麼樣不知道
[00:36:08.960 --> 00:36:09.760]  疊成這樣子
[00:36:09.760 --> 00:36:11.280]  你看達到你的線了
[00:36:11.280 --> 00:36:11.920]  好 來
[00:36:11.920 --> 00:36:14.320]  看紅海配投信
[00:36:14.320 --> 00:36:16.120]  投信最近也不知道發了什麼風啊
[00:36:16.120 --> 00:36:17.880]  有沒有
[00:36:17.880 --> 00:36:19.720]  之後全部都在賣
[00:36:19.720 --> 00:36:21.240]  外資反而是還有賣
[00:36:21.240 --> 00:36:22.840]  這個也是被投信到下來
[00:36:22.840 --> 00:36:25.240]  所以你從從馬面看就是什麼
[00:36:25.240 --> 00:36:26.240]  法人沒有買
[00:36:26.240 --> 00:36:27.240]  反而串他一講嘛
[00:36:27.240 --> 00:36:28.240]  那當然啊
[00:36:28.240 --> 00:36:30.240]  前全部都在記憶體的時候
[00:36:30.240 --> 00:36:31.240]  反而又串他們
[00:36:31.240 --> 00:36:33.240]  當然就往下走
[00:36:33.240 --> 00:36:35.240]  可是我要跟大家講
[00:36:35.240 --> 00:36:37.240]  紅海疊到這個位置以後
[00:36:37.240 --> 00:36:40.240]  最近的本意比已經回到幾倍
[00:36:40.240 --> 00:36:41.240]  甚至一倍了
[00:36:41.240 --> 00:36:43.240]  已經接近甜甜價
[00:36:43.240 --> 00:36:45.240]  因為如果我們從過去紅海的
[00:36:45.240 --> 00:36:47.240]  這個本意比的區間來看
[00:36:47.240 --> 00:36:48.240]  他大概是多少
[00:36:48.240 --> 00:36:50.240]  八到十五倍
[00:36:50.240 --> 00:36:54.240]  在十一倍甚至十倍以下
[00:36:54.240 --> 00:36:56.240]  那個其實時間都不會太長了
[00:36:56.240 --> 00:36:59.240]  也就是說現在已經來到十一倍的時候
[00:36:59.240 --> 00:37:01.240]  告訴你這邊
[00:37:01.240 --> 00:37:03.240]  短線年前買
[00:37:03.240 --> 00:37:06.240]  年後回來賺錢的機率已經拉高了
[00:37:06.240 --> 00:37:08.240]  已經拉高了
[00:37:08.240 --> 00:37:10.240]  那記憶體長多拉回
[00:37:10.240 --> 00:37:12.240]  你看今天就很明顯嘛
