# 逐字稿 - moneyline_20260206_part3
# 來源網址: https://www.youtube.com/watch?v=ANr_5fVfhGc
# 轉換日期: 2026-02-07 14:08:31
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  好 如果您正在看電視的同一時間
[00:24:16.280 --> 00:24:18.800]  那其實就是比較保守性的資產
[00:24:18.800 --> 00:24:20.360]  那大盤的相關性數
[00:24:20.360 --> 00:24:22.200]  就是越低代表說
[00:24:22.200 --> 00:24:25.000]  他跟大盤震盪他反而容易逆勢長
[00:24:25.000 --> 00:24:26.000]  所以我們可以直接看
[00:24:26.000 --> 00:24:28.080]  差LP的一個K線讀
[00:24:28.080 --> 00:24:28.960]  最近來講的話
[00:24:28.960 --> 00:24:30.640]  確實已經有資金
[00:24:30.640 --> 00:24:32.920]  開始去卡為這個差LP的這個
[00:24:32.920 --> 00:24:34.160]  差LP你說必需品
[00:24:34.160 --> 00:24:36.760]  譬如說是什麼醫療 消費 飲食
[00:24:36.760 --> 00:24:37.640]  這些的
[00:24:37.640 --> 00:24:40.120]  那駐華可以看到
[00:24:40.120 --> 00:24:42.080]  已經開始有資金開始做這種
[00:24:42.080 --> 00:24:43.720]  一個防禦型的配置
[00:24:43.720 --> 00:24:46.080]  所以你可以搭一些投資等級站
[00:24:46.080 --> 00:24:47.680]  或者是搭這個差LP
[00:24:47.680 --> 00:24:49.080]  公共事業的部分的話
[00:24:49.080 --> 00:24:50.680]  其實就是相同的邏輯
[00:24:50.680 --> 00:24:52.880]  那這邊的一個群眾給大家做個參考
[00:24:52.880 --> 00:24:53.760]  就是差LP
[00:24:53.760 --> 00:24:55.640]  它就是32%在一些消費品
[00:24:55.640 --> 00:24:57.800]  飲料 家庭用品 食品的部分
[00:24:57.800 --> 00:25:00.120]  那這個公共事業就是在電力
[00:25:00.120 --> 00:25:02.560]  或者是電網這相關的藍氣水
[00:25:02.560 --> 00:25:04.360]  水利的這些公用的一個部分
[00:25:04.360 --> 00:25:06.400]  那這兩個ETF就是比較保守型的
[00:25:06.400 --> 00:25:07.800]  所以你可以搭一些
[00:25:07.800 --> 00:25:09.640]  這樣的一個ETF或者是搭配
[00:25:09.640 --> 00:25:10.640]  投等站的ETF
[00:25:10.640 --> 00:25:13.240]  非常清楚 謝謝志林的哲立
[00:25:13.240 --> 00:25:14.240]  請先回座了
[00:25:14.240 --> 00:25:14.960]  今天節目最後
[00:25:14.960 --> 00:25:16.720]  就很好是吉尼上台來
[00:25:16.720 --> 00:25:19.040]  陸者 陸者 台紙集業盤就表了
[00:25:19.040 --> 00:25:20.560]  美國集貨盤就翻紅了
[00:25:20.560 --> 00:25:21.240]  但下個禮拜
[00:25:21.240 --> 00:25:22.560]  我們可能會比較清淡一點
[00:25:22.560 --> 00:25:23.640]  觀盤就點我哪些
[00:25:23.640 --> 00:25:25.320]  我覺得還是注意一下
[00:25:25.320 --> 00:25:27.320]  因為我們台灣要過年
[00:25:27.320 --> 00:25:29.920]  所以跟美國股市不太一樣
[00:25:29.920 --> 00:25:30.960]  我們要小心的是
[00:25:30.960 --> 00:25:33.000]  兵種協賬賣一樣 還沒玩嗎
[00:25:33.000 --> 00:25:34.320]  當然啦 當然沒有玩
[00:25:34.320 --> 00:25:37.480]  所以下禮拜這個投一兩天的
[00:25:37.480 --> 00:25:38.680]  教育日要小心
[00:25:38.680 --> 00:25:40.520]  然後再來是美國AI巨頭的
[00:25:40.520 --> 00:25:41.720]  股價能否指跌
[00:25:41.720 --> 00:25:44.040]  我們看到今天晚上的亞馬去嘛
[00:25:44.040 --> 00:25:44.720]  對不對
[00:25:44.720 --> 00:25:47.480]  它是跌10% 是比10%多
[00:25:47.480 --> 00:25:49.480]  還是比10%少 這個很重要
[00:25:49.480 --> 00:25:51.120]  再來講家庭後必跟貴金屬
[00:25:51.120 --> 00:25:52.360]  這個震盪激烈
[00:25:52.360 --> 00:25:54.680]  應該還是還是很激烈
[00:25:54.680 --> 00:25:56.160]  所以上當下下
[00:25:56.160 --> 00:25:57.680]  那全球記憶體的暴價
[00:25:57.680 --> 00:25:58.520]  我覺得這個當然
[00:25:58.520 --> 00:26:00.320]  關心最近記憶體的走勢
[00:26:00.320 --> 00:26:01.320]  大家比較意外
[00:26:01.320 --> 00:26:02.720]  那你就看一下暴價
[00:26:02.720 --> 00:26:03.720]  跟這些大廠
[00:26:03.720 --> 00:26:05.720]  每到週末
[00:26:05.720 --> 00:26:07.920]  就是說哪一家又要大幅擴廠
[00:26:07.920 --> 00:26:09.320]  這些算鬼故事
[00:26:09.320 --> 00:26:11.520]  所以大家要稍微注意一下
[00:26:11.520 --> 00:26:13.520]  指標股還是台積電
[00:26:13.520 --> 00:26:14.720]  還是中流底柱
[00:26:14.720 --> 00:26:16.720]  記憶體 低軌衛星 PCB
[00:26:16.720 --> 00:26:18.520]  這個都要留意一下波動煤土狀況
[00:26:18.520 --> 00:26:19.360]  好 非常清楚
[00:26:19.360 --> 00:26:20.120]  謝謝春老師
[00:26:20.120 --> 00:26:21.520]  謝謝今天所有的來賓
[00:26:21.520 --> 00:26:24.320]  等一下 先不要走開
[00:26:24.320 --> 00:26:25.720]  天線百分百的觀眾朋友
[00:26:25.720 --> 00:26:27.120]  好 可不可以告訴你
[00:26:27.120 --> 00:26:28.920]  我們有新的理財頻道
[00:26:28.920 --> 00:26:32.520]  請鎖定Stary to小資理財藍圖
[00:26:32.520 --> 00:26:35.320]  歡迎訂閱 按讚 開啟小鈴鐺
[00:26:35.320 --> 00:26:37.320]  每個禮拜二 禮拜四晚上
[00:26:37.320 --> 00:26:38.920]  會有新的影片上線
[00:26:38.920 --> 00:26:41.320]  投資禮財 先目標錯誤
[00:26:41.320 --> 00:26:42.720]  這麼多的財經訊息
[00:26:42.720 --> 00:26:45.520]  到底哪一樣可以幫我們賺大錢呢
[00:26:45.520 --> 00:26:50.520]  用我的視角陪伴你瞭解
[00:26:50.520 --> 00:26:52.520]  金融知識不在冷均溺
[00:26:52.520 --> 00:26:55.320]  Stary 掃地理財藍圖
[00:26:55.320 --> 00:26:56.920]  影片的交易書文件上線
[00:26:56.920 --> 00:26:59.920]  我是云莉 陪你一起分享 才不自由
[00:26:59.920 --> 00:27:01.320]  要記得按讚 訂閱 開啟小鈴鐺
[00:27:01.320 --> 00:27:03.320]  才可以掌握最新資訊哦
